0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
"(0.6033007502555847, 0.5526922941207886, -0.19521191716194153)","(0.618618905544281, 0.5583235025405884, -0.22202086448669434)","(0.6182515621185303, 0.559756875038147, -0.22210517525672913)","(0.6177955865859985, 0.561484694480896, -0.2222893238067627)","(0.6196599006652832, 0.5575258731842041, -0.17428797483444214)","(0.6200696229934692, 0.5582950711250305, -0.17427532374858856)","(0.6204485893249512, 0.559215784072876, -0.17442728579044342)","(0.6056438684463501, 0.5772010087966919, -0.2943289875984192)","(0.6087664365768433, 0.5731646418571472, -0.08654081076383591)","(0.5831812620162964, 0.5567429661750793, -0.21833282709121704)","(0.5856950283050537, 0.554754912853241, -0.15777768194675446)","(0.4884594678878784, 0.5957413911819458, -0.4002534747123718)","(0.4976853132247925, 0.5731444954872131, 0.06589043885469437)","(0.3417680561542511, 0.6148751378059387, -0.41892653703689575)","(0.35487422347068787, 0.5834652781486511, 0.12537062168121338)","(0.20919188857078552, 0.6179156303405762, -0.3815433382987976)","(0.24285776913166046, 0.5925837755203247, 0.09210905432701111)","(0.16727879643440247, 0.6230615377426147, -0.4365554451942444)","(0.21766355633735657, 0.5968104004859924, 0.10081052780151367)","(0.16162043809890747, 0.6166478991508484, -0.4286247193813324)","(0.21528297662734985, 0.5969714522361755, 0.058324750512838364)","(0.17476285994052887, 0.6142154932022095, -0.3769107460975647)","(0.22340743243694305, 0.5892688632011414, 0.07320911437273026)","(0.25071561336517334, 0.5912113785743713, -0.13757716119289398)","(0.25775831937789917, 0.5770848989486694, 0.13757634162902832)","(0.06599214673042297, 0.5854674577713013, -0.07911764085292816)","(0.08911143243312836, 0.5836961269378662, 0.2095256745815277)","(-0.06875157356262207, 0.5955823063850403, 0.08796819299459457)","(-0.05334806442260742, 0.5908216834068298, 0.3815220594406128)","(-0.08741068840026855, 0.6083102822303772, 0.09939386695623398)","(-0.07668036222457886, 0.599731981754303, 0.3942718505859375)","(-0.11398512870073318, 0.5703651905059814, 0.016272705048322678)","(-0.08870694041252136, 0.5626932382583618, 0.3160549998283386)"
"(0.6030517816543579, 0.5526953935623169, -0.27873343229293823)","(0.6180424690246582, 0.5585387945175171, -0.30634453892707825)","(0.6176468133926392, 0.5602325797080994, -0.30647626519203186)","(0.6171668171882629, 0.5621665716171265, -0.3067202866077423)","(0.6193467974662781, 0.5574837923049927, -0.2587297558784485)","(0.6198958158493042, 0.5582043528556824, -0.25869813561439514)","(0.6203862428665161, 0.5590730905532837, -0.25886598229408264)","(0.6057195663452148, 0.577452540397644, -0.35822388529777527)","(0.6096194982528687, 0.572719395160675, -0.14994360506534576)","(0.5829429030418396, 0.5575157403945923, -0.29157063364982605)","(0.5856606364250183, 0.5548378825187683, -0.23113714158535004)","(0.4869594871997833, 0.5965380668640137, -0.4482113718986511)","(0.5050875544548035, 0.5736809968948364, 0.03399588167667389)","(0.3379823565483093, 0.6144925951957703, -0.46259206533432007)","(0.36109766364097595, 0.5873616337776184, 0.11028936505317688)","(0.20691631734371185, 0.6182392239570618, -0.3944762051105499)","(0.24273009598255157, 0.5930763483047485, 0.055891603231430054)","(0.16511878371238708, 0.6227613687515259, -0.44553565979003906)","(0.2140045315027237, 0.5972920656204224, 0.068497434258461)","(0.1602170765399933, 0.6165875792503357, -0.4385092556476593)","(0.21280981600284576, 0.5977909564971924, 0.018755871802568436)","(0.17449341714382172, 0.6142300367355347, -0.38876479864120483)","(0.22271914780139923, 0.5973408818244934, 0.03491152822971344)","(0.23674386739730835, 0.5938254594802856, -0.13842743635177612)","(0.250527560710907, 0.5793307423591614, 0.13850510120391846)","(0.05268941447138786, 0.5862522125244141, -0.085184246301651)","(0.0807492583990097, 0.5834652185440063, 0.23706690967082977)","(-0.0713677704334259, 0.6015685796737671, 0.1035056933760643)","(-0.06265877187252045, 0.5926565527915955, 0.40426015853881836)","(-0.0885978639125824, 0.6132149696350098, 0.11825168132781982)","(-0.08761487156152725, 0.6013761162757874, 0.41734814643859863)","(-0.11787346750497818, 0.5854315757751465, 0.05579261854290962)","(-0.10097648948431015, 0.5645565986633301, 0.3565453886985779)"
"(0.6024627089500427, 0.5527045726776123, -0.26755601167678833)","(0.6170555353164673, 0.5586458444595337, -0.28726622462272644)","(0.6168650388717651, 0.5604321956634521, -0.2872932553291321)","(0.6165991425514221, 0.562415361404419, -0.2874758541584015)","(0.6181994080543518, 0.5574662089347839, -0.24474328756332397)","(0.6188544631004333, 0.5581673979759216, -0.24476750195026398)","(0.619524359703064, 0.559022068977356, -0.2449193298816681)","(0.6059281826019287, 0.577489972114563, -0.3477925956249237)","(0.6097032427787781, 0.5724722743034363, -0.12743167579174042)","(0.5825781226158142, 0.5578857660293579, -0.28925272822380066)","(0.5853904485702515, 0.5549323558807373, -0.22001320123672485)","(0.4886104166507721, 0.5966245532035828, -0.4339498281478882)","(0.505753755569458, 0.5737394094467163, 0.05084178224205971)","(0.3386281728744507, 0.614191472530365, -0.4473118782043457)","(0.3609403371810913, 0.5871647000312805, 0.11688792705535889)","(0.20760245621204376, 0.6181848645210266, -0.37853050231933594)","(0.24269720911979675, 0.5932342410087585, 0.06518664956092834)","(0.16808074712753296, 0.6225787401199341, -0.4285486936569214)","(0.21114413440227509, 0.5975936651229858, 0.07620465755462646)","(0.16323648393154144, 0.6164844036102295, -0.41807645559310913)","(0.20994649827480316, 0.598392128944397, 0.028865117579698563)","(0.17700235545635223, 0.6140475869178772, -0.3711724877357483)","(0.22130118310451508, 0.5996667146682739, 0.04489981755614281)","(0.23461812734603882, 0.5940573215484619, -0.13851095736026764)","(0.24812793731689453, 0.5793784856796265, 0.13860464096069336)","(0.05187031999230385, 0.590133547782898, -0.11539557576179504)","(0.08133397996425629, 0.5837145447731018, 0.23357811570167542)","(-0.0579712875187397, 0.6088167428970337, 0.10189206153154373)","(-0.05236700549721718, 0.5977223515510559, 0.3908142149448395)","(-0.06988559663295746, 0.617878794670105, 0.11788354814052582)","(-0.07315728068351746, 0.6055554747581482, 0.4038119912147522)","(-0.10098376870155334, 0.599516749382019, 0.05502269044518471)","(-0.09215512871742249, 0.5769013166427612, 0.351199746131897)"
"(0.6022636294364929, 0.5527070760726929, -0.2579079568386078)","(0.6166254281997681, 0.558752179145813, -0.2770702540874481)","(0.6165161728858948, 0.5606223344802856, -0.2770359516143799)","(0.6163319945335388, 0.5626654624938965, -0.2771972119808197)","(0.6177023649215698, 0.5574430227279663, -0.23574265837669373)","(0.6183976531028748, 0.5581173300743103, -0.2358323037624359)","(0.6191449761390686, 0.5589466094970703, -0.23599007725715637)","(0.606077253818512, 0.5775635838508606, -0.33645394444465637)","(0.6098498702049255, 0.5722452402114868, -0.11037114262580872)","(0.5824915766716003, 0.5581182241439819, -0.2838732600212097)","(0.5853334665298462, 0.5549705624580383, -0.2105567306280136)","(0.49121132493019104, 0.5966173410415649, -0.43107908964157104)","(0.5056605339050293, 0.5740866661071777, 0.06892500072717667)","(0.34020739793777466, 0.6140627264976501, -0.4422228932380676)","(0.3608185350894928, 0.5875201225280762, 0.13098861277103424)","(0.20767241716384888, 0.6181204915046692, -0.38535964488983154)","(0.2418527454137802, 0.5932971239089966, 0.06650641560554504)","(0.16810956597328186, 0.6225133538246155, -0.4369485080242157)","(0.2088778018951416, 0.5977290868759155, 0.07975634187459946)","(0.16327844560146332, 0.6164690256118774, -0.42383819818496704)","(0.20790685713291168, 0.5985305309295654, 0.031091224402189255)","(0.17694221436977386, 0.6139944791793823, -0.37727758288383484)","(0.21683081984519958, 0.5978932976722717, 0.04623127356171608)","(0.23144695162773132, 0.5942437648773193, -0.1400742381811142)","(0.24340751767158508, 0.5803514122962952, 0.1401955634355545)","(0.047344230115413666, 0.5901313424110413, -0.11575530469417572)","(0.07683594524860382, 0.5857012867927551, 0.22949586808681488)","(-0.06539305299520493, 0.6113271713256836, 0.09337665885686874)","(-0.06199100241065025, 0.6027274131774902, 0.38878583908081055)","(-0.0748388022184372, 0.6211280226707458, 0.11045078933238983)","(-0.08363602310419083, 0.6112089157104492, 0.40116387605667114)","(-0.1139582097530365, 0.6016014218330383, 0.050960756838321686)","(-0.10490921884775162, 0.5813537240028381, 0.3474200665950775)"
"(0.6023777723312378, 0.5527173280715942, -0.25143736600875854)","(0.6166431903839111, 0.558832585811615, -0.2761303186416626)","(0.6165638566017151, 0.5607298016548157, -0.2761181592941284)","(0.616415798664093, 0.5627862215042114, -0.2763160169124603)","(0.6177103519439697, 0.5574434995651245, -0.2261219173669815)","(0.6184031367301941, 0.5581170320510864, -0.22603465616703033)","(0.6191477179527283, 0.5589467287063599, -0.2261747568845749)","(0.6069353818893433, 0.5775841474533081, -0.3356093168258667)","(0.6103168725967407, 0.5722442865371704, -0.09508664160966873)","(0.5833777785301208, 0.5582938194274902, -0.2756178677082062)","(0.5859732031822205, 0.5550771355628967, -0.19473478198051453)","(0.49340370297431946, 0.596570611000061, -0.4243214428424835)","(0.5053583383560181, 0.5744211077690125, 0.07474122941493988)","(0.3404355049133301, 0.6137484312057495, -0.4412071704864502)","(0.35733306407928467, 0.5903180837631226, 0.13071389496326447)","(0.20771799981594086, 0.617441713809967, -0.38722801208496094)","(0.23461852967739105, 0.5954435467720032, 0.06713295727968216)","(0.1683390885591507, 0.6220722794532776, -0.44160571694374084)","(0.19984616339206696, 0.5983114242553711, 0.07662603259086609)","(0.16329069435596466, 0.6161853075027466, -0.42723363637924194)","(0.19782672822475433, 0.5987055897712708, 0.026378802955150604)","(0.17691300809383392, 0.6135421395301819, -0.3793104290962219)","(0.20966161787509918, 0.5970063209533691, 0.04537256062030792)","(0.23202989995479584, 0.594279944896698, -0.14009539783000946)","(0.24395205080509186, 0.5806027054786682, 0.1402263194322586)","(0.046935148537158966, 0.5908711552619934, -0.19260896742343903)","(0.07676205039024353, 0.59031742811203, 0.21045176684856415)","(-0.04531514272093773, 0.6107273697853088, 0.10401297360658646)","(-0.046429235488176346, 0.6044129133224487, 0.379136323928833)","(-0.04819712042808533, 0.6195170879364014, 0.13073228299617767)","(-0.062452103942632675, 0.6108551621437073, 0.39354079961776733)","(-0.09125363081693649, 0.6072144508361816, 0.08605849742889404)","(-0.08994453400373459, 0.5880764722824097, 0.3461048901081085)"
"(0.6024450659751892, 0.5527266263961792, -0.2297719568014145)","(0.6166512966156006, 0.558907687664032, -0.258877694606781)","(0.6165778040885925, 0.5608163475990295, -0.25893986225128174)","(0.6164531111717224, 0.5628721117973328, -0.2591727077960968)","(0.6177098751068115, 0.5574550628662109, -0.2048819363117218)","(0.6184033155441284, 0.5581323504447937, -0.20473845303058624)","(0.6191489696502686, 0.5589682459831238, -0.20488815009593964)","(0.6075242161750793, 0.577584981918335, -0.3281348943710327)","(0.6105589270591736, 0.5722470283508301, -0.08383466303348541)","(0.583916425704956, 0.5583961606025696, -0.25466835498809814)","(0.5863228440284729, 0.5551791787147522, -0.1762298047542572)","(0.4943976402282715, 0.5964380502700806, -0.42013466358184814)","(0.5051307678222656, 0.574637770652771, 0.08186977356672287)","(0.340591698884964, 0.6136459112167358, -0.4396861493587494)","(0.35600513219833374, 0.5908070802688599, 0.13272520899772644)","(0.2077324092388153, 0.6170031428337097, -0.3887673616409302)","(0.23430293798446655, 0.5954939723014832, 0.06931135058403015)","(0.1683451384305954, 0.6219151616096497, -0.4438970685005188)","(0.20059464871883392, 0.5984538793563843, 0.0787549838423729)","(0.1632336974143982, 0.6161372065544128, -0.42838531732559204)","(0.19871601462364197, 0.5986956357955933, 0.030511116608977318)","(0.17687790095806122, 0.6133455038070679, -0.3805960416793823)","(0.20906005799770355, 0.5966883897781372, 0.04861726611852646)","(0.2318761646747589, 0.594455361366272, -0.1410210281610489)","(0.24419835209846497, 0.5805371999740601, 0.14120720326900482)","(0.0474204495549202, 0.5909824371337891, -0.2130766361951828)","(0.07811728864908218, 0.5908346176147461, 0.2151658535003662)","(-0.021325519308447838, 0.6117892265319824, 0.12465083599090576)","(-0.018613308668136597, 0.6039892435073853, 0.39399757981300354)","(-0.01892922632396221, 0.6187397241592407, 0.15736468136310577)","(-0.03122599422931671, 0.6098595857620239, 0.4109283983707428)","(-0.06674981117248535, 0.612319827079773, 0.13096222281455994)","(-0.059628624469041824, 0.5894585847854614, 0.3682307302951813)"
"(0.6027677059173584, 0.5528380870819092, -0.22655731439590454)","(0.6169188022613525, 0.5591847896575928, -0.2553704082965851)","(0.6168643236160278, 0.5611064434051514, -0.25546789169311523)","(0.6167494654655457, 0.5631994009017944, -0.2556958496570587)","(0.6178907752037048, 0.5576002597808838, -0.20368926227092743)","(0.618573784828186, 0.558255136013031, -0.20358890295028687)","(0.6193056106567383, 0.559063732624054, -0.203742116689682)","(0.6080713868141174, 0.5777240991592407, -0.3232525587081909)","(0.6109290719032288, 0.5722614526748657, -0.08852344006299973)","(0.584895133972168, 0.5585330724716187, -0.24869497120380402)","(0.5870417952537537, 0.5552882552146912, -0.17804944515228271)","(0.4946368634700775, 0.5964333415031433, -0.41926109790802)","(0.5050471425056458, 0.5746825933456421, 0.08160081505775452)","(0.34060579538345337, 0.6136464476585388, -0.4405632019042969)","(0.35546356439590454, 0.5907849669456482, 0.12782621383666992)","(0.20773166418075562, 0.6169528961181641, -0.3975159525871277)","(0.23431739211082458, 0.5955460667610168, 0.06298452615737915)","(0.16834427416324615, 0.6219156980514526, -0.4531741142272949)","(0.20140843093395233, 0.598476231098175, 0.07186447829008102)","(0.16318199038505554, 0.6162304878234863, -0.4385659992694855)","(0.19963200390338898, 0.5986663699150085, 0.02047618292272091)","(0.17685095965862274, 0.6133484244346619, -0.3895948529243469)","(0.2093954235315323, 0.5964565277099609, 0.040458470582962036)","(0.2315332442522049, 0.5946637988090515, -0.14110954105854034)","(0.24430020153522491, 0.5804720520973206, 0.14130814373493195)","(0.04803488031029701, 0.5911180973052979, -0.21778394281864166)","(0.08082852512598038, 0.5902841687202454, 0.21895840764045715)","(-0.015666348859667778, 0.6117485761642456, 0.13447660207748413)","(-0.010428388603031635, 0.6032850742340088, 0.4019622802734375)","(-0.013605490326881409, 0.6182404160499573, 0.16835495829582214)","(-0.023626316338777542, 0.6092296242713928, 0.4194643795490265)","(-0.060669850558042526, 0.6118708848953247, 0.14652535319328308)","(-0.050219569355249405, 0.5890605449676514, 0.377653032541275)"
"(0.6029208898544312, 0.5528766512870789, -0.21395884454250336)","(0.6170333623886108, 0.5592952966690063, -0.243048757314682)","(0.6170050501823425, 0.5612155795097351, -0.24316154420375824)","(0.6169138550758362, 0.5633066892623901, -0.2433830052614212)","(0.6179391741752625, 0.5576592683792114, -0.19083049893379211)","(0.618614673614502, 0.5583096742630005, -0.19073660671710968)","(0.6193391680717468, 0.5591105818748474, -0.19088922441005707)","(0.6083674430847168, 0.5777323246002197, -0.3111075162887573)","(0.6110281944274902, 0.5722625851631165, -0.07873664796352386)","(0.5853798985481262, 0.5585801005363464, -0.23560422658920288)","(0.5873681902885437, 0.5553510189056396, -0.16657273471355438)","(0.49485278129577637, 0.5964173078536987, -0.4127326011657715)","(0.5049998164176941, 0.5746960639953613, 0.08727126568555832)","(0.34075307846069336, 0.6136529445648193, -0.4391946494579315)","(0.3548378050327301, 0.5906501412391663, 0.13413724303245544)","(0.20769385993480682, 0.6169638633728027, -0.397556334733963)","(0.23382943868637085, 0.5955734848976135, 0.06383310258388519)","(0.16833935678005219, 0.6219567060470581, -0.4541609585285187)","(0.20035137236118317, 0.5983648300170898, 0.07362593710422516)","(0.16316302120685577, 0.6164461970329285, -0.43993157148361206)","(0.19829633831977844, 0.5985479950904846, 0.024802306666970253)","(0.1768304705619812, 0.6134601831436157, -0.3899691700935364)","(0.2089088410139084, 0.5963171720504761, 0.04314803704619408)","(0.230803444981575, 0.5946900248527527, -0.14203602075576782)","(0.2434817999601364, 0.5804092288017273, 0.14225518703460693)","(0.046795543283224106, 0.5913639068603516, -0.22892795503139496)","(0.08056963235139847, 0.5891150236129761, 0.21699589490890503)","(-0.021611247211694717, 0.6122571229934692, 0.12606875598430634)","(-0.017749585211277008, 0.6031262874603271, 0.39929530024528503)","(-0.019266121089458466, 0.6183308362960815, 0.15679870545864105)","(-0.03184731304645538, 0.6089451313018799, 0.41562333703041077)","(-0.06943050026893616, 0.6135866045951843, 0.12888847291469574)","(-0.05887317284941673, 0.5905365943908691, 0.36580073833465576)"
"(0.6030706167221069, 0.5529345870018005, -0.20566901564598083)","(0.6171642541885376, 0.5594192743301392, -0.2347254455089569)","(0.6171451807022095, 0.5613424777984619, -0.2348436564207077)","(0.617059051990509, 0.5634421706199646, -0.23505204916000366)","(0.6179932355880737, 0.5577150583267212, -0.18287061154842377)","(0.6186477541923523, 0.5583471059799194, -0.18280600011348724)","(0.6193565726280212, 0.5591302514076233, -0.18295124173164368)","(0.6085016131401062, 0.5777581334114075, -0.3003707826137543)","(0.6110591292381287, 0.5722364187240601, -0.07162248343229294)","(0.5856778621673584, 0.5586584210395813, -0.2260662466287613)","(0.587569534778595, 0.5554118156433105, -0.1588316559791565)","(0.49567702412605286, 0.5963941812515259, -0.40851566195487976)","(0.5048872828483582, 0.5746818780899048, 0.09869158267974854)","(0.3419387638568878, 0.6136542558670044, -0.43671172857284546)","(0.35482168197631836, 0.5905826687812805, 0.14643462002277374)","(0.20808233320713043, 0.6169663071632385, -0.3969975709915161)","(0.23409004509449005, 0.5955464243888855, 0.06758014112710953)","(0.1689155101776123, 0.6219000816345215, -0.4527624845504761)","(0.20104318857192993, 0.5979200601577759, 0.07633136957883835)","(0.16347236931324005, 0.6164643168449402, -0.4392661154270172)","(0.1990041583776474, 0.5983392000198364, 0.02663799747824669)","(0.17716583609580994, 0.6134921312332153, -0.3898383378982544)","(0.2094142735004425, 0.59598308801651, 0.0442652702331543)","(0.22959467768669128, 0.5949292182922363, -0.14615340530872345)","(0.24193303287029266, 0.5805643200874329, 0.14637258648872375)","(0.024977704510092735, 0.5813445448875427, -0.23487558960914612)","(0.07641296088695526, 0.5854175090789795, 0.22189366817474365)","(-0.02815556712448597, 0.6166714429855347, 0.1135745719075203)","(-0.02092151716351509, 0.6066505908966064, 0.3983913064002991)","(-0.026509732007980347, 0.6234411001205444, 0.15514598786830902)","(-0.03723723813891411, 0.6134364604949951, 0.41395506262779236)","(-0.06998201459646225, 0.6218518018722534, 0.1140829473733902)","(-0.07627944648265839, 0.5980415940284729, 0.3622783124446869)"
"(0.6034128665924072, 0.5529567003250122, -0.17866261303424835)","(0.6175071597099304, 0.5594870448112488, -0.2079901546239853)","(0.617450475692749, 0.5614073276519775, -0.20810753107070923)","(0.6173234581947327, 0.5635143518447876, -0.20831574499607086)","(0.6182711124420166, 0.5577573180198669, -0.15687872469425201)","(0.6188746690750122, 0.558379054069519, -0.15679575502872467)","(0.6195389032363892, 0.559149444103241, -0.1569514125585556)","(0.6085913777351379, 0.5777684450149536, -0.278950959444046)","(0.6111266613006592, 0.572208046913147, -0.05254111811518669)","(0.5860392451286316, 0.5586689710617065, -0.20073318481445312)","(0.5878975987434387, 0.5554169416427612, -0.13482142984867096)","(0.4959825873374939, 0.5961291790008545, -0.38629961013793945)","(0.5047979354858398, 0.574627161026001, 0.10933022946119308)","(0.34286656975746155, 0.6134356260299683, -0.40856972336769104)","(0.3552185595035553, 0.5904632806777954, 0.15602780878543854)","(0.2093229740858078, 0.6165996789932251, -0.36494147777557373)","(0.23442329466342926, 0.5955333113670349, 0.08826211094856262)","(0.17086058855056763, 0.6212889552116394, -0.4187639355659485)","(0.20134148001670837, 0.5977993011474609, 0.09965427219867706)","(0.16540518403053284, 0.616307258605957, -0.403361052274704)","(0.19964464008808136, 0.5981885194778442, 0.047636985778808594)","(0.17887350916862488, 0.6134280562400818, -0.3568393290042877)","(0.21096746623516083, 0.5954687595367432, 0.06489551067352295)","(0.22788789868354797, 0.5949323177337646, -0.14683714509010315)","(0.2407488226890564, 0.5805225968360901, 0.14710861444473267)","(0.031123338267207146, 0.5825084447860718, -0.24717485904693604)","(0.06861750036478043, 0.5819417834281921, 0.22287404537200928)","(-0.004761653020977974, 0.6152318716049194, 0.11538181453943253)","(-0.010769416578114033, 0.6008692979812622, 0.39798036217689514)","(0.003623626660555601, 0.622306764125824, 0.1532202959060669)","(-0.023241857066750526, 0.6049567461013794, 0.4136984050273895)","(-0.04627590253949165, 0.619700014591217, 0.14413043856620789)","(-0.053688712418079376, 0.5959845781326294, 0.3662888705730438)"
