0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
"(0.8646103143692017, 0.5527055859565735, -0.13894258439540863)","(0.8826043605804443, 0.5589615106582642, -0.17666976153850555)","(0.8827313780784607, 0.5605412125587463, -0.17663033306598663)","(0.8831347823143005, 0.562244713306427, -0.17664408683776855)","(0.883304238319397, 0.5584132671356201, -0.12105321139097214)","(0.883833646774292, 0.5595158338546753, -0.12105082720518112)","(0.8846653699874878, 0.5607489943504333, -0.1211066022515297)","(0.8772411942481995, 0.5753176212310791, -0.2693396806716919)","(0.8796591758728027, 0.573014497756958, -0.026045285165309906)","(0.8485189080238342, 0.5561990141868591, -0.16698578000068665)","(0.8489775061607361, 0.554749608039856, -0.096263088285923)","(0.7893884181976318, 0.5922660231590271, -0.3852214515209198)","(0.7778573036193848, 0.5740315318107605, 0.13570427894592285)","(0.6310679316520691, 0.5968017578125, -0.4331058859825134)","(0.6279367208480835, 0.5731943845748901, 0.21255198121070862)","(0.49385184049606323, 0.5902430415153503, -0.4318632483482361)","(0.5128548741340637, 0.5695406794548035, 0.17690466344356537)","(0.44975370168685913, 0.5916833281517029, -0.4788740277290344)","(0.4723151624202728, 0.5699442625045776, 0.18988846242427826)","(0.4478980600833893, 0.582615852355957, -0.46465641260147095)","(0.46264952421188354, 0.567803680896759, 0.1411251276731491)","(0.46324580907821655, 0.5799441933631897, -0.4237484037876129)","(0.4852924048900604, 0.5646906495094299, 0.15567941963672638)","(0.522163987159729, 0.5666078925132751, -0.15380965173244476)","(0.5259820222854614, 0.5532430410385132, 0.1536536067724228)","(0.3101656436920166, 0.5514768958091736, -0.12369398772716522)","(0.3157441020011902, 0.5459425449371338, 0.16860708594322205)","(0.10727450251579285, 0.5473522543907166, -0.03295344486832619)","(0.12657859921455383, 0.5478292107582092, 0.27614712715148926)","(0.08792546391487122, 0.5557622313499451, -0.02843567728996277)","(0.10464450716972351, 0.5563812851905823, 0.2805178761482239)","(0.027567744255065918, 0.5145666003227234, -0.15784238278865814)","(0.037715792655944824, 0.5164206624031067, 0.1726350486278534)"
"(0.8666638135910034, 0.5527317523956299, -0.10091706365346909)","(0.8845741152763367, 0.5594427585601807, -0.1365484744310379)","(0.8848518133163452, 0.5611702799797058, -0.13654614984989166)","(0.8852609395980835, 0.5630150437355042, -0.13655924797058105)","(0.8851264715194702, 0.5585920214653015, -0.08047136664390564)","(0.885692834854126, 0.559624195098877, -0.08042015135288239)","(0.8864737749099731, 0.5608117580413818, -0.08044346421957016)","(0.8778932094573975, 0.5757166147232056, -0.22936969995498657)","(0.8799281716346741, 0.5730272531509399, 0.018269743770360947)","(0.8486002683639526, 0.5567136406898499, -0.12990298867225647)","(0.8489825129508972, 0.5550042390823364, -0.0582040473818779)","(0.7894009351730347, 0.5922203063964844, -0.3607212007045746)","(0.7778133749961853, 0.5733816623687744, 0.1768522411584854)","(0.6315392851829529, 0.596624493598938, -0.4139702618122101)","(0.6286196112632751, 0.5735805034637451, 0.2480679601430893)","(0.4943280816078186, 0.5891451835632324, -0.40576261281967163)","(0.5128350257873535, 0.5694885849952698, 0.19505400955677032)","(0.44986405968666077, 0.5916352868080139, -0.45269113779067993)","(0.4723394215106964, 0.5692645311355591, 0.20386700332164764)","(0.4482567608356476, 0.5825070738792419, -0.43742501735687256)","(0.4664875566959381, 0.566617488861084, 0.15473341941833496)","(0.4643493592739105, 0.5794549584388733, -0.39702314138412476)","(0.48577606678009033, 0.5644432902336121, 0.17231391370296478)","(0.5221026539802551, 0.5649834275245667, -0.15893061459064484)","(0.5258362889289856, 0.5522894263267517, 0.1587522178888321)","(0.3104335069656372, 0.5511054396629333, -0.12990018725395203)","(0.3158305883407593, 0.5449485182762146, 0.1749001443386078)","(0.10741102695465088, 0.5474313497543335, -0.04430026188492775)","(0.12571310997009277, 0.5477269291877747, 0.2799777686595917)","(0.08512163907289505, 0.5567120909690857, -0.04163062572479248)","(0.10204693675041199, 0.556391716003418, 0.28369611501693726)","(0.027400067076086998, 0.5135090351104736, -0.18981128931045532)","(0.03817202150821686, 0.5148211717605591, 0.17497478425502777)"
"(0.8666533827781677, 0.5526772737503052, -0.09698227047920227)","(0.8846170902252197, 0.5595064759254456, -0.132169708609581)","(0.8849046230316162, 0.5612843036651611, -0.13216885924339294)","(0.885334849357605, 0.5632139444351196, -0.13218221068382263)","(0.8851606845855713, 0.5585906505584717, -0.07701468467712402)","(0.8857213258743286, 0.5596014261245728, -0.07696360349655151)","(0.8865078687667847, 0.5607597827911377, -0.07698769867420197)","(0.877891480922699, 0.5758665800094604, -0.22337526082992554)","(0.879871129989624, 0.5730053186416626, 0.019978076219558716)","(0.8481192588806152, 0.5568085312843323, -0.12545961141586304)","(0.8483120203018188, 0.5550117492675781, -0.05494111403822899)","(0.7890945672988892, 0.5921850204467773, -0.3513120114803314)","(0.7774237990379333, 0.5730032920837402, 0.1758975088596344)","(0.6315392255783081, 0.5963728427886963, -0.40374845266342163)","(0.6287266612052917, 0.5737694501876831, 0.24802227318286896)","(0.4944120943546295, 0.5883767008781433, -0.39297372102737427)","(0.512833833694458, 0.5694011449813843, 0.19619013369083405)","(0.4498555362224579, 0.591597855091095, -0.4383246898651123)","(0.47250163555145264, 0.5686318278312683, 0.2046375423669815)","(0.4482766389846802, 0.5824846029281616, -0.42302191257476807)","(0.46908190846443176, 0.5658369660377502, 0.15641804039478302)","(0.4646328389644623, 0.5792244672775269, -0.38414129614830017)","(0.48640570044517517, 0.5642542839050293, 0.17395755648612976)","(0.5216938257217407, 0.5638782978057861, -0.1589287966489792)","(0.5254703760147095, 0.5514467358589172, 0.15875326097011566)","(0.3109452426433563, 0.5482632517814636, -0.13122424483299255)","(0.3163735568523407, 0.5420552492141724, 0.1747923344373703)","(0.10965906083583832, 0.54742032289505, -0.04569539055228233)","(0.1254740059375763, 0.5473192930221558, 0.27932700514793396)","(0.08532291650772095, 0.557109534740448, -0.04266556724905968)","(0.10145606845617294, 0.5563865900039673, 0.2827448844909668)","(0.027455324307084084, 0.5134693384170532, -0.18484742939472198)","(0.03824207931756973, 0.5140872597694397, 0.1749514639377594)"
"(0.8659552931785583, 0.5523055791854858, -0.10019475966691971)","(0.8842495679855347, 0.559482216835022, -0.13426899909973145)","(0.8845322728157043, 0.5612689256668091, -0.1342587023973465)","(0.8849927186965942, 0.563210129737854, -0.13427183032035828)","(0.8846679925918579, 0.5584717392921448, -0.08016007393598557)","(0.8851276636123657, 0.5594070553779602, -0.08011972904205322)","(0.8858263492584229, 0.5604945421218872, -0.08015081286430359)","(0.8775171637535095, 0.5758655667304993, -0.22220711410045624)","(0.8791776299476624, 0.572788655757904, 0.015600135549902916)","(0.8467137813568115, 0.5567651391029358, -0.12779182195663452)","(0.8465345501899719, 0.5548892021179199, -0.05864560976624489)","(0.7883680462837219, 0.5921344757080078, -0.3480687141418457)","(0.7767456769943237, 0.5721518397331238, 0.1716502457857132)","(0.6300476789474487, 0.5959118008613586, -0.4049564003944397)","(0.6276161074638367, 0.5736607313156128, 0.24625703692436218)","(0.49370574951171875, 0.5873808264732361, -0.3985844850540161)","(0.5088434815406799, 0.5689059495925903, 0.1992134302854538)","(0.44887834787368774, 0.5911648869514465, -0.44428637623786926)","(0.4715360105037689, 0.5675562620162964, 0.20991526544094086)","(0.44727396965026855, 0.582449734210968, -0.4270232617855072)","(0.4666670858860016, 0.5635589957237244, 0.1619912087917328)","(0.46421393752098083, 0.5790327787399292, -0.38908156752586365)","(0.48529425263404846, 0.5639901757240295, 0.17783614993095398)","(0.5215787887573242, 0.5630777478218079, -0.15886002779006958)","(0.524828314781189, 0.5513924360275269, 0.15868426859378815)","(0.31283628940582275, 0.5377961993217468, -0.13116519153118134)","(0.31673839688301086, 0.5356237292289734, 0.1755564957857132)","(0.11691205948591232, 0.5465883016586304, -0.0407118946313858)","(0.125837504863739, 0.5462034344673157, 0.28043994307518005)","(0.09201423823833466, 0.5571049451828003, -0.0347646027803421)","(0.1016712412238121, 0.556381344795227, 0.28429144620895386)","(0.03489871695637703, 0.5128642916679382, -0.15327586233615875)","(0.04475664719939232, 0.5128800868988037, 0.181388720870018)"
"(0.863264799118042, 0.5519024729728699, -0.10050129145383835)","(0.8823117613792419, 0.5593770742416382, -0.1324843168258667)","(0.8825284242630005, 0.5611634850502014, -0.13246509432792664)","(0.8829284906387329, 0.5631381869316101, -0.13246837258338928)","(0.8825149536132812, 0.5582218766212463, -0.08170913904905319)","(0.8827887773513794, 0.5590696930885315, -0.08168310672044754)","(0.8832871913909912, 0.5600631833076477, -0.08171490579843521)","(0.8756512999534607, 0.5757933855056763, -0.21188800036907196)","(0.8770167231559753, 0.5723415613174438, 0.010618620552122593)","(0.8439054489135742, 0.5566825866699219, -0.12548407912254333)","(0.8434461951255798, 0.5546804666519165, -0.060619667172431946)","(0.786427915096283, 0.591773271560669, -0.3288588523864746)","(0.774450421333313, 0.5711418390274048, 0.16897377371788025)","(0.6279439926147461, 0.5956981778144836, -0.382180392742157)","(0.6251708269119263, 0.5735430121421814, 0.2436659038066864)","(0.49161189794540405, 0.5871991515159607, -0.3767344653606415)","(0.5040777325630188, 0.5687847137451172, 0.1972520798444748)","(0.44700732827186584, 0.5910296440124512, -0.41771596670150757)","(0.4687935411930084, 0.5674766302108765, 0.2083366960287094)","(0.4451117515563965, 0.5825149416923523, -0.39961180090904236)","(0.4656519889831543, 0.5636799931526184, 0.16144326329231262)","(0.46183493733406067, 0.5790537595748901, -0.3666676878929138)","(0.48172158002853394, 0.5639994740486145, 0.17656837403774261)","(0.5170602798461914, 0.5625299215316772, -0.153864324092865)","(0.5187880992889404, 0.5514071583747864, 0.15371958911418915)","(0.31437745690345764, 0.5301815867424011, -0.13107933104038239)","(0.31801339983940125, 0.5311272740364075, 0.1605900675058365)","(0.12434805929660797, 0.544324517250061, -0.04046740382909775)","(0.129545196890831, 0.5449932217597961, 0.2554878890514374)","(0.10097884386777878, 0.5569897890090942, -0.03473002463579178)","(0.10595449805259705, 0.5565022230148315, 0.25898393988609314)","(0.03901704400777817, 0.5110570788383484, -0.1376621276140213)","(0.0497022308409214, 0.5116931796073914, 0.16846303641796112)"
"(0.8605332374572754, 0.5515173673629761, -0.10195613652467728)","(0.8800926208496094, 0.559269905090332, -0.13308626413345337)","(0.8803001642227173, 0.561047375202179, -0.1330462545156479)","(0.8807263970375061, 0.5630460977554321, -0.1330420970916748)","(0.8802114725112915, 0.5580268502235413, -0.08366210758686066)","(0.8804373741149902, 0.558819591999054, -0.08365008234977722)","(0.8808947801589966, 0.5597518086433411, -0.0836775004863739)","(0.8734877705574036, 0.5756536722183228, -0.2078987956047058)","(0.8744818568229675, 0.5719740390777588, 0.007875707931816578)","(0.8411374688148499, 0.5564419627189636, -0.12534768879413605)","(0.8406052589416504, 0.5543079376220703, -0.06231571361422539)","(0.7824461460113525, 0.5909362435340881, -0.31900686025619507)","(0.7695587277412415, 0.5702989101409912, 0.1663236767053604)","(0.6246923804283142, 0.5954892039299011, -0.3689507842063904)","(0.6199572086334229, 0.5730458498001099, 0.22996073961257935)","(0.48843637108802795, 0.5871549248695374, -0.37052246928215027)","(0.4982796907424927, 0.5683869123458862, 0.19600380957126617)","(0.4423813223838806, 0.5906682014465332, -0.41199615597724915)","(0.46391957998275757, 0.5670102834701538, 0.20808492600917816)","(0.4394682049751282, 0.5827368497848511, -0.3910941779613495)","(0.46018126606941223, 0.5637873411178589, 0.16230514645576477)","(0.45567765831947327, 0.5793374180793762, -0.35975247621536255)","(0.4743810296058655, 0.5639771223068237, 0.17592763900756836)","(0.5128340721130371, 0.562457263469696, -0.1525157392024994)","(0.5124431848526001, 0.5528729557991028, 0.1523694097995758)","(0.31686830520629883, 0.5186668634414673, -0.1338619440793991)","(0.31809231638908386, 0.5304451584815979, 0.16162963211536407)","(0.13580571115016937, 0.5429979562759399, -0.04064492508769035)","(0.1346597671508789, 0.5435946583747864, 0.25938278436660767)","(0.11674737185239792, 0.5570372343063354, -0.034162912517786026)","(0.11334285885095596, 0.5564993023872375, 0.2630482017993927)","(0.04370420426130295, 0.5112389326095581, -0.10418000817298889)","(0.0511295460164547, 0.5118041634559631, 0.18272726237773895)"
"(0.8594105243682861, 0.5514848232269287, -0.10286504775285721)","(0.8786235451698303, 0.5592681169509888, -0.13347581028938293)","(0.8789944052696228, 0.5610505938529968, -0.13341033458709717)","(0.8795318603515625, 0.5630632638931274, -0.1333933174610138)","(0.8787281513214111, 0.5579922795295715, -0.08495734632015228)","(0.8790751099586487, 0.5587441325187683, -0.0849548801779747)","(0.8796743750572205, 0.5596306920051575, -0.08498560637235641)","(0.8720293045043945, 0.5756469964981079, -0.20521047711372375)","(0.8730237483978271, 0.5717476606369019, 0.006290046963840723)","(0.8396080732345581, 0.5564081072807312, -0.12505017220973969)","(0.8390974998474121, 0.5541812181472778, -0.06327769160270691)","(0.780848503112793, 0.5906835794448853, -0.3174537122249603)","(0.7663925886154175, 0.5695878267288208, 0.16480694711208344)","(0.6238613724708557, 0.5952105522155762, -0.37038370966911316)","(0.617919385433197, 0.5725003480911255, 0.22536122798919678)","(0.4867716431617737, 0.5871697664260864, -0.37657517194747925)","(0.4960254728794098, 0.5677459836006165, 0.19545364379882812)","(0.44069579243659973, 0.5906574726104736, -0.4194421172142029)","(0.4618338346481323, 0.5664947032928467, 0.2089330106973648)","(0.4377821981906891, 0.5829541683197021, -0.3985566794872284)","(0.45803454518318176, 0.5636244416236877, 0.16347835958003998)","(0.4534621238708496, 0.5794824361801147, -0.366031676530838)","(0.47172021865844727, 0.5636923909187317, 0.1761946678161621)","(0.5115060210227966, 0.562493085861206, -0.1544090062379837)","(0.5104577541351318, 0.5543060898780823, 0.1542939692735672)","(0.3205408453941345, 0.5070475339889526, -0.15379878878593445)","(0.3180893361568451, 0.5319198369979858, 0.1641785204410553)","(0.14436037838459015, 0.5430749654769897, -0.0550803542137146)","(0.1383674442768097, 0.5425232648849487, 0.2615865468978882)","(0.12626253068447113, 0.5577184557914734, -0.044442638754844666)","(0.11454220116138458, 0.5564616322517395, 0.26524418592453003)","(0.04926559701561928, 0.5171552896499634, -0.10355035960674286)","(0.052228741347789764, 0.5124312043190002, 0.18861202895641327)"
"(0.8586685061454773, 0.5514304637908936, -0.1042579635977745)","(0.8774858117103577, 0.5592449307441711, -0.13551296293735504)","(0.8779764175415039, 0.5610324144363403, -0.13547705113887787)","(0.8784860968589783, 0.5630446672439575, -0.13547171652317047)","(0.8775978684425354, 0.5579341053962708, -0.08657890558242798)","(0.8780924677848816, 0.5586622357368469, -0.08659707009792328)","(0.8787779808044434, 0.5595163106918335, -0.08668148517608643)","(0.8706883788108826, 0.5754297375679016, -0.20832742750644684)","(0.8716846108436584, 0.5714064240455627, 0.005088263191282749)","(0.8385327458381653, 0.5563119053840637, -0.1263633519411087)","(0.8380804061889648, 0.554035484790802, -0.0644148588180542)","(0.7788259983062744, 0.5900192856788635, -0.3196659982204437)","(0.7645536065101624, 0.5690237283706665, 0.16475044190883636)","(0.6222710013389587, 0.5945600271224976, -0.37637782096862793)","(0.6168093085289001, 0.5712796449661255, 0.22618192434310913)","(0.4809107780456543, 0.586448609828949, -0.38183513283729553)","(0.4970293641090393, 0.5647057294845581, 0.19915089011192322)","(0.4355275332927704, 0.5893318057060242, -0.42490154504776)","(0.46211114525794983, 0.5629128217697144, 0.21677738428115845)","(0.43336525559425354, 0.5826705694198608, -0.40587636828422546)","(0.45861461758613586, 0.5608795285224915, 0.17007771134376526)","(0.4474824368953705, 0.5793092846870422, -0.3716942369937897)","(0.47256842255592346, 0.5615795850753784, 0.18108560144901276)","(0.5065727829933167, 0.5620977878570557, -0.157561793923378)","(0.50398850440979, 0.5544202327728271, 0.15761905908584595)","(0.3328215777873993, 0.4872691035270691, -0.1908055990934372)","(0.30638983845710754, 0.5341241359710693, 0.17411713302135468)","(0.1734609305858612, 0.5431599617004395, -0.05530422553420067)","(0.12145737558603287, 0.534333348274231, 0.2620570957660675)","(0.1603374481201172, 0.5591634511947632, -0.04322436824440956)","(0.09069914370775223, 0.5459667444229126, 0.26345911622047424)","(0.07667460292577744, 0.537367045879364, -0.045632991939783096)","(0.05204096436500549, 0.5092788338661194, 0.19020898640155792)"
"(0.8584496974945068, 0.5513315200805664, -0.1044219359755516)","(0.8766260147094727, 0.5591742992401123, -0.13682803511619568)","(0.8770621418952942, 0.5609362125396729, -0.13677644729614258)","(0.8775030374526978, 0.5629094243049622, -0.1367664635181427)","(0.876772403717041, 0.557853102684021, -0.08742553740739822)","(0.8772944808006287, 0.5585685968399048, -0.0874384194612503)","(0.8779148459434509, 0.5594031810760498, -0.0875164046883583)","(0.8701239824295044, 0.5750739574432373, -0.21027332544326782)","(0.8708799481391907, 0.5711530447006226, 0.006475901696830988)","(0.8384795188903809, 0.5562013983726501, -0.12579897046089172)","(0.8380872011184692, 0.5539214611053467, -0.06295891851186752)","(0.7764928340911865, 0.5891510248184204, -0.3244982063770294)","(0.7626529932022095, 0.5687857270240784, 0.17417918145656586)","(0.620148241519928, 0.593970775604248, -0.3768850564956665)","(0.6151540279388428, 0.5707948803901672, 0.23835308849811554)","(0.47677451372146606, 0.5858682990074158, -0.38330259919166565)","(0.4972282350063324, 0.5637849569320679, 0.21081790328025818)","(0.4324566721916199, 0.5880349278450012, -0.4255595803260803)","(0.46207448840141296, 0.5618584156036377, 0.2302272617816925)","(0.43022269010543823, 0.5822934508323669, -0.409161239862442)","(0.4586399495601654, 0.5601130127906799, 0.1826479434967041)","(0.4434734880924225, 0.5791309475898743, -0.37405017018318176)","(0.4721214771270752, 0.56086266040802, 0.19266006350517273)","(0.5051794648170471, 0.5610759258270264, -0.16244195401668549)","(0.5029658079147339, 0.5543926358222961, 0.1625613570213318)","(0.3457978665828705, 0.47717124223709106, -0.19633445143699646)","(0.3039047122001648, 0.5357232093811035, 0.18134833872318268)","(0.19015473127365112, 0.5426508188247681, -0.05408256873488426)","(0.11669360101222992, 0.5335142612457275, 0.2604457437992096)","(0.20046024024486542, 0.5596659779548645, -0.042676664888858795)","(0.08125226944684982, 0.5460732579231262, 0.2593384385108948)","(0.09507472068071365, 0.5400453209877014, -0.036892183125019073)","(0.05150778591632843, 0.5080562233924866, 0.18925045430660248)"
"(0.8579360246658325, 0.5510987043380737, -0.10818127542734146)","(0.8752152919769287, 0.5589346885681152, -0.1414397656917572)","(0.8755964636802673, 0.5606423020362854, -0.1413630098104477)","(0.8760569095611572, 0.562578022480011, -0.14134737849235535)","(0.87535160779953, 0.5575926303863525, -0.09321652352809906)","(0.8758553266525269, 0.5582672953605652, -0.0932275801897049)","(0.8764369487762451, 0.5590676069259644, -0.09329576790332794)","(0.8691072463989258, 0.5745387673377991, -0.21219566464424133)","(0.8697047829627991, 0.5706873536109924, 0.003529882524162531)","(0.8383569717407227, 0.5559130907058716, -0.1269509345293045)","(0.8379494547843933, 0.5535446405410767, -0.06527194380760193)","(0.7747911214828491, 0.5885342359542847, -0.3252442181110382)","(0.7612415552139282, 0.5686047673225403, 0.17105385661125183)","(0.6191378831863403, 0.5933021306991577, -0.37891054153442383)","(0.6134834885597229, 0.5707321763038635, 0.23506195843219757)","(0.47606441378593445, 0.584825873374939, -0.3641695976257324)","(0.4972030520439148, 0.5638493895530701, 0.19604890048503876)","(0.43208184838294983, 0.5868943333625793, -0.4059400260448456)","(0.46104612946510315, 0.5619817972183228, 0.21435996890068054)","(0.42946526408195496, 0.5815528631210327, -0.3849130868911743)","(0.45731455087661743, 0.5603660345077515, 0.16506890952587128)","(0.44306686520576477, 0.5785342454910278, -0.3530625104904175)","(0.4712643623352051, 0.5609260201454163, 0.17738044261932373)","(0.5049645304679871, 0.5587495565414429, -0.16266494989395142)","(0.5025475025177002, 0.5531402826309204, 0.16280333697795868)","(0.3702396750450134, 0.4604805111885071, -0.20021916925907135)","(0.30378544330596924, 0.535819411277771, 0.20332635939121246)","(0.2587922513484955, 0.5405117273330688, -0.005822606850415468)","(0.10356850177049637, 0.5348438024520874, 0.25886714458465576)","(0.2624855935573578, 0.5573056936264038, 0.01750391349196434)","(0.07666613906621933, 0.5471982955932617, 0.2551652193069458)","(0.17115744948387146, 0.5439039468765259, 0.061939537525177)","(0.04025733843445778, 0.5084197521209717, 0.1941370666027069)"
